15.52,38948
357.69,34727
699.87,33232
1042.05,28700
1384.21,22776
1726.26,24145
2068.43,25075
2410.6,19973
2752.75,21725
3094.91,20004
3436.97,22289
3779.13,16977
4121.28,20537
4463.45,19029
4805.61,17637
5147.65,23564
5489.82,23623
5832,23114
6174.17,20449
6516.31,22652
6858.37,19252
7200.55,19841
7542.74,24312
7884.89,22731
8227.06,22186
8569.11,21561
8911.3,20041
9253.46,18671
9595.61,17764
9937.78,17602
10279.84,20879
10622,21367
10964.16,18711
11306.33,17211
11648.5,20347
11990.55,20058
12332.7,18419
12674.88,18412
13017.05,17313
13359.21,18607
13701.27,19432
14043.43,19113
14385.62,18485
14727.78,21237
15069.94,18812
15411.98,21522
15754.16,18371
16096.34,20693
16438.51,19835
16780.67,17694
17122.73,17149
17464.9,16330
17807.06,18568
18149.23,18360
18491.39,18384
18833.45,19485
19175.62,21353
19517.78,18660
19859.96,17962
20202.15,15143
20544.22,17275
20886.39,18117
21228.58,16367
21570.75,18112
21912.93,19968
22255,21313
22597.21,19086
22939.37,19795
23281.53,21925
23623.68,17613
23965.74,19392
24307.93,16887
24650.09,19423
24992.26,17305
25334.44,16678
25676.5,15684
26018.67,16866
26360.83,16328
26702.99,15949
27045.17,18380
27387.22,18105
27729.38,20250
28071.53,20065
28413.7,14984
28755.87,15949
29097.93,18121
29440.09,17479
29782.25,19496
30124.41,16913
30466.56,17155
30808.61,16245
31150.79,15671
31492.96,12314
31835.13,17982
32177.28,20701
32519.35,18208
32861.51,13946
33203.68,18053
33545.84,17895
33888.02,14982
34230.09,14650
34572.24,18288
34914.39,17291
35256.55,16131
35598.71,18399
35940.76,14946
36282.93,15648
36625.1,17064
36967.27,13675
37309.43,15172
37651.5,15045
37993.67,14610
38335.85,17602
38678.06,19073
39020.22,15440
39362.28,16069
39704.47,18357
40046.63,15979
40388.81,16533
40730.97,16948
41073.02,12620
41415.19,19241
41757.36,17540
42099.55,15387
42441.72,15125
42783.77,15914
43125.94,17145
43468.1,17833
43810.25,17190
44152.43,13201
44494.5,15876
44836.66,17632
45178.81,19699
45520.99,16851
45863.16,15214
46205.21,16837
46547.36,15714
46889.54,17757
47231.71,18065
47573.88,17450
47915.93,16084
48258.1,15495
48600.26,14710
48942.43,15625
49284.6,14902
49626.66,14126
49968.83,15796
50310.99,18143
50653.17,16696
50995.35,12703
51337.42,15107
51679.58,16086
52021.74,12180
52363.9,16071
52706.06,15658
53048.12,17863
53390.28,17111
53732.44,16635
54074.62,16775
54416.77,19503
54758.84,12689
55101,13404
55443.18,17552
55785.34,16070
56127.5,14105
56469.57,13063
56811.72,16949
57153.9,14746
57496.07,17102
57838.25,12634
58180.33,17070
58522.51,13530
58864.67,15652
59206.84,17615
59549.01,16758
59891.06,17033
60233.23,15970
60575.39,16464
60917.56,14739
61259.73,18494
61601.78,15724
61943.95,17383
62286.12,14229
62628.29,14144
62970.45,15275
63312.5,15621
63654.67,17329
63996.85,18958
64339.01,16873
64681.16,15162
65023.25,17459
65365.46,18223
65707.62,17045
66049.78,18567
66391.93,16087
66733.98,17873
67076.17,14474
67418.33,15515
67760.48,14929
68102.66,15304
68444.72,16714
68786.88,16100
69129.03,15408
69471.21,15000
69813.4,18451
70155.48,14544
70497.63,13283
70839.79,15330
71181.97,17077
71524.14,14399
71866.21,13861
72208.37,13904
72550.53,17565
72892.68,16578
73234.84,16047
73576.89,14546
73919.06,16709
74261.22,18235
74603.38,16436
74945.55,15810
75287.61,15131
75629.78,15637
75971.94,16543
76314.13,13966
76656.32,16458
76998.38,15433
77340.55,16189
77682.72,15092
78024.89,17877
78367.05,13900
78709.1,15314
79051.28,15689
79393.48,17275
79735.64,12966
80077.81,14599
